DVM,DS_LEDGER_LOOKUP,DS_LEDGER_LOOKUP,ds_ledger_lookup
LegalEntity,CompanyCode,FunctionalCurrency,PrimaryLedger,LedgerId,DataAccessSet,InvoiceSource
"DocuSign, Inc.",100,USD,US PRIMARY LEDGER USD,300000002914751,300000003092056,300000002914070
DocuSign Canada Ltd.,102,CAD,CA PRIMARY LEDGER CAD,300000002914757,300000003092082,300000002914070
ARX Inc.,110,USD,US PRIMARY LEDGER USD,300000002914751,300000003092056,300000002914070
SpringCM Inc.,120,USD,US PRIMARY LEDGER USD,300000002914751,300000003092056,300000002914070
"Seal Software, Inc.",150,USD,US PRIMARY LEDGER USD,300000002914751,300000003092056,300000002914070
DocuSign Japan K.K.,320,JPY,JP PRIMARY LEDGER JPY,300000002914766,300000003092118,300000002914070
DocuSign Acquisition Ltd.,500,USD,IL PRIMARY LEDGER USD,300000002914787,300000003092116,300000002914070
DocuSign Israel Ltd.,501,ILS,IL PRIMARY LEDGER ILS,300000002914790,300000003092114,300000002914070
DocuSign Brasil Soluções Em Tecnologia Ltda.,140,BRL,BR PRIMARY LEDGER BRL,300000002914796,300000003092081,300000002914070
DocuSign Brazil LLC,601,BRL,BR PRIMARY LEDGER BRL,300000002914796,300000003092081,300000002914070
"DocuSign International, Inc. (Australia Branch)",310,USD,AU PRIMARY LEDGER USD,300000002914763,300000003092057,300000002914070
DocuSign Mexico S. de R.L. de C.V.,650,MXN,MX PRIMARY LEDGER MXN,300000002914799,300000003092120,300000002914070
DocuSign International (EMEA) Limited,400,EUR,IE PRIMARY LEDGER EUR,300000002914769,300000003092112,300000002914070
DocuSign UK Limited,410,GBP,UK PRIMARY LEDGER GBP,300000002914772,300000003092125,300000002914070
DocuSign Germany GmbH,420,EUR,DE PRIMARY LEDGER EUR,300000002914775,300000003092108,300000002914070
