DVM,AP_IB_XACTLY_SuppliersLookups,
Supplier_Name,Supplier_Number,Legal_Entity,Business_Unit,Supplier_Site
XACTLY INTEGRATION,10001,"DocuSign International, Inc. (Australia Branch)",AU BU USD,DAB
XACTLY INTEGRATION,10001,DocuSign Germany GmbH,DE BU EUR,DSG
XACTLY INTEGRATION,10001,DocuSign Brazil LLC,US BU USD,DSB
XACTLY INTEGRATION,10001,DocuSign Israel Ltd.,IL BU ILS,DIS
XACTLY INTEGRATION,10001,"DocuSign, Inc.",US BU USD,DSI
XACTLY INTEGRATION,10001,Seal Software Egypt LLC,EG BU EGP,SSE
XACTLY INTEGRATION,10001,DocuSign International (Asia-Pacific) Private Limited,SG BU SGD,DIP
XACTLY INTEGRATION,10001,DocuSign Japan K.K.,JP BU JPY,DSJ
XACTLY INTEGRATION,10001,DocuSign Canada Ltd.,CA BU CAD,DSC
XACTLY INTEGRATION,10001,"Seal Software, Inc.",US BU USD,SSI
XACTLY INTEGRATION,10001,SpringCM Inc.,US BU USD,SCM
XACTLY INTEGRATION,10001,DocuSign France SAS,FR BU EUR,DSF
XACTLY INTEGRATION,10001,DocuSign International (EMEA) Limited,IE BU EUR,DIE
XACTLY INTEGRATION,10001,DocuSign Mexico S. de R.L. de C.V.,MX BU MXN,DSM
XACTLY INTEGRATION,10001,DocuSign UK Limited,UK BU GBP,DUK
